businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
Ogawa Coffee,,10 Milk,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,2014-09-18 16:03:18.22+00,6174707439,157351,42.35689118,-71.05795938
Oishii Boston,,1166 Washington,Boston,MA,2118,Active,FS,Eating & Drinking,2008-03-25 16:46:03+00,5088814532,,34.24438675,-73.6513909
OLD COLONY YACHT CLUB,,235 Victory,Dorchester,MA,2122,Active,FS,Eating & Drinking,2021-08-18 13:56:29.55+00,6175155243,140600,42.29969951,-71.04440055
OLGA'S KAFE,,206 Broadway,South Boston,MA,2127,Active,FS,Eating & Drinking,2019-09-20 13:12:20.747+00,6172685419,21399,42.34021986,-71.05259862
Olitoki,,66 Brighton,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2016-04-28 19:15:16.46+00,6172025038,20171,42.35239961,-71.12881062
Olive World - Lower Level,,32 Cambridge,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,2022-10-26 18:29:39.013+00,7813001670,25110,42.38356954,-71.07435043
Oliveiras Restaurant,,297 Chelsea,East Boston,MA,2128,Active,FS,Eating & Drinking,2020-10-09 13:52:11.447+00,6175617277,391790,42.37698948,-71.03023034
Olympic House of Pizza,,655 EAST BROADWAY,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,2007-10-23 15:25:26+00,6172692144,,42.33579324,-71.03808998
Omni Boston Seaport - Crescendo,,450 Summer,Boston,MA,2210,Active,FS,Eating & Drinking,2018-09-26 18:48:08.523+00,6174766664,132015,42.34707089,-71.0427247
Omni Boston Seaport - Kestra,,450 Summer,Boston,MA,2210,Active,FS,Eating & Drinking,2018-09-26 18:53:04.323+00,6174766664,132015,42.34707089,-71.0427247
Omni Boston Seaport - Lifted Pool Bar,,450 Summer,Boston,MA,2210,Active,FS,Eating & Drinking,2018-09-26 18:46:56.62+00,6174766664,132015,42.34707089,-71.0427247
Omni Boston Seaport - Sporting Club,,450 Summer,Boston,MA,2210,Active,FS,Eating & Drinking,2018-09-26 18:51:37.49+00,6174766664,132015,42.34707089,-71.0427247
OMNI PARKER HOUSE,,56 School,Boston,MA,2108,Active,FS,Eating & Drinking,2006-12-07 18:34:12+00,6172278600,158012,42.35777754,-71.06011022
Omni Seaport Employee Kitchen,,450 Summer,Boston,MA,2210,Active,FS,Eating & Drinking,2018-09-26 18:50:31.423+00,6174766664,132015,42.34707089,-71.0427247
Omni Seaport L3 Kitchen,,450 Summer,Boston,MA,2210,Active,FS,Eating & Drinking,2018-09-26 18:49:22.623+00,6174766664,132015,42.34707089,-71.0427247
Omni Seaport Main BQ Kitchen,,450 Summer,Boston,MA,2210,Active,FS,Eating & Drinking,2018-09-26 18:45:48.64+00,6174766664,132015,42.34707089,-71.0427247
On the Edge Nutrition,,283 Old Colony,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,2020-01-21 20:37:20.447+00,8579392728,105086,42.33036288,-71.05290009
One Beacon Cafe,,1 Beacon,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,2023-05-18 15:49:31.56+00,6178699018,9475,42.35844952,-71.06084045
One Family Diner Inc.,,260 Bowdoin,Dorchester,MA,2125,Active,FS,Eating & Drinking,2016-01-25 18:12:57.56+00,6174361577,354503,42.30678267,-71.06670704
One Plus One,,1 Dalton,Boston,MA,2115,Active,FS,Eating & Drinking,2018-06-12 15:34:46.97+00,6173774888,351070,42.34575327,-71.08401207
One Zo,,83 Harrison,Boston,MA,2111,Active,FS,Eating & Drinking,2020-07-31 18:21:55.713+00,6178885366,359017,42.35092952,-71.06158047
OneZo,,145 Brighton,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2020-09-29 17:48:19.07+00,6179033534,404390,42.35319085,-71.13176336
ONLY ONE JAMAICAN RESTAURANT,,1345 Hyde Park,Hyde Park,MA,2136,Active,FS,Eating & Drinking,2019-04-29 15:17:47.323+00,,413413,42.25303811,-71.12509723
ONLY ONE JAMAICAN RESTAURANT,,160 Norfolk,Dorchester,MA,2124,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:54+00,6178220444,156224,42.28715863,-71.07862138
OPPA SUSHI,,185 Harvard,Allston,MA,2134,Active,FS,Eating & Drinking,2015-04-02 18:53:32.95+00,6172023808,352348,42.35091762,-71.13152963
ORIENTAL HOUSE,,560 Washington,Dorchester,MA,2124,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:02+00,6172829329,156004,42.29207179,-71.07152185
ORINOCO:A LATIN KITCHEN,,477 SHAWMUT ,BOSTON,MA,2118,Active,FS,Eating & Drinking,2006-12-07 18:36:32+00,0,,42.3389028,-71.07595018
O'Saraceno,,284 Hanover,Boston,MA,2113,Active,FS,Eating & Drinking,2006-12-07 18:34:02+00,6172885353,69085,42.36396951,-71.05454043
Ostra,,1 Charles Street South,Boston,MA,2116,Active,FS,Eating & Drinking,2013-09-13 15:17:59+00,6174211200,,34.24438675,-73.6513909
Otto,,200 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2019-06-18 16:03:34.867+00,,341353,42.36267681,-71.01863533
Otto Pizza,,416 Broadway,South Boston,MA,2127,Active,FS,Eating & Drinking,2019-11-06 15:13:53.06+00,5616546958,388583,42.33689738,-71.04739865
Otto Pizza,,345 Harrison,Roxbury,MA,2118,Active,FT,Eating & Drinking w/ Take Out,2020-11-06 20:34:31.757+00,5616546958,69828,42.34488497,-71.06422483
Our Zone,,1583 Commonwealth,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2018-09-28 19:01:15.54+00,6177875030,408286,42.34428963,-71.14304067
Outlook Kitchen & Bar (Envoy 1St. Fl),,70 Sleeper,Boston,MA,2210,Active,FS,Eating & Drinking,2017-08-21 15:50:13.707+00,6173383030,350594,42.3536911,-71.0482942
P & R ICE CREAM,,1284 BLUE HILL ,MATTAPAN,MA,2126,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:11+00,6172960922,,42.27993707,-71.09258236
P & R Restaurant & Ice Cream Parlor,,208 Dudley,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,2014-09-29 14:31:28.49+00,6172902147,49647,42.32862955,-71.08105056
P.F.CHANG'S CHINA BISTRO,,8 Park,Boston,MA,2116,Active,FS,Eating & Drinking,2006-12-07 18:35:12+00,6175730821,158173,42.35188328,-71.06699819
