X,Y,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,park,x_longitude,y_latitude,ObjectId
-71.071560924,42.319880081,43757,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,17,--,Boston,Roxbury,Mary Hannon Park,-71.07156,42.31988,354
-71.070859526,42.319484427,43758,"Pear, Callery",Pyrus calleryana,1,3-6in,4,--,Boston,Roxbury,Mary Hannon Park,-71.07086,42.31948,355
-71.070893054,42.31946162,43759,"Pear, Callery",Pyrus calleryana,1,3-6in,4,--,Boston,Roxbury,Mary Hannon Park,-71.07089,42.31946,356
-71.070930605,42.319439804,43760,"Pear, Callery",Pyrus calleryana,1,3-6in,5,--,Boston,Roxbury,Mary Hannon Park,-71.07093,42.31944,357
-71.070823316,42.319552849,43761,Goldenrain Tree,Koelreuteria paniculata,1,3-6in,4,--,Boston,Roxbury,Mary Hannon Park,-71.07082,42.31955,358
-71.070958768,42.319705557,43762,Goldenrain Tree,Koelreuteria paniculata,1,3-6in,4,--,Boston,Roxbury,Mary Hannon Park,-71.07096,42.31971,359
-71.070992295,42.319741255,43763,Goldenrain Tree,Koelreuteria paniculata,1,3-6in,4,--,Boston,Roxbury,Mary Hannon Park,-71.07099,42.31974,360
-71.071166639,42.319686716,43764,"Cherry, Sargent",Prunus sargentii,1,6-12in,6,--,Boston,Roxbury,Mary Hannon Park,-71.07117,42.31969,361
-71.071086173,42.319731339,43765,"Cherry, Sargent",Prunus sargentii,1,6-12in,6,--,Boston,Roxbury,Mary Hannon Park,-71.07108,42.31973,362
-71.071135794,42.319779928,43766,"Cherry, Sargent",Prunus sargentii,1,6-12in,6,--,Boston,Roxbury,Mary Hannon Park,-71.07114,42.31978,363
-71.07121626,42.31973828,43767,"Cherry, Sargent",Prunus sargentii,1,6-12in,6,--,Boston,Roxbury,Mary Hannon Park,-71.07121,42.31974,364
-71.071198826,42.319604413,43768,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,4,--,Boston,Roxbury,Mary Hannon Park,-71.0712,42.3196,365
-71.071051304,42.319446746,43769,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,6-12in,7,--,Boston,Roxbury,Mary Hannon Park,-71.07105,42.31945,366
-71.071169321,42.319479469,43770,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,3-6in,4,--,Boston,Roxbury,Mary Hannon Park,-71.07117,42.31948,367
