,Number,Name,Latitude,Longitude,Public,Total docks,roundtrip_ratio,trips,log_trips
155,D32008,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Yes,15,0.03281123986586867,141354,5.150308102555629
156,C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Yes,23,0.022745715496881244,165130,5.217825980899852
157,B32022,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,Yes,10,0.04696510314487842,16821,4.225851810818157
158,B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,Yes,26,0.03445562362992524,249074,5.396328395357229
159,E32007,S Huntington Ave at Heath St,42.32760387,-71.1108917,Yes,15,0.038500731026538476,45142,4.654580796428102
160,C32033,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,Yes,14,0.12294831277398308,19618,4.292654730197986
161,C32036,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,Yes,15,0.02108495204170609,215604,5.333656813851496
162,B32014,Seaport Hotel - Congress St at Seaport Ln,42.34881026,-71.04167744,Yes,19,0.038994402126967385,89141,4.950077501772212
163,B32007,Seaport Square - Seaport Blvd at Northern Ave,42.35148193,-71.04436085,Yes,23,0.03228694199092862,167560,5.224170351689182
164,D32059,Shawmut Ave at Lenox St,42.33584613,-71.08038157,Yes,19,0.03962575674188222,7268,3.8614149186359965
165,D32048,Shawmut Ave at Oak St W,42.34854543,-71.06559185,Yes,15,0.027229989620855974,49137,4.691408637630063
166,E32009,Shawmut T Stop,42.292917,-71.06575,Yes,19,0.11430055851409274,7699,3.8864343196289384
167,D32032,Silber Way,42.349496,-71.10057592,Yes,19,0.04986395291692138,166854,5.2223366224808005
168,A32006,Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757,Yes,15,0.043210759765345545,139780,5.145445036137805
169,C32017,South Boston Library - 646 E Broadway,42.335741,-71.03877,Yes,15,0.04879152938809386,119283,5.076578553207025
