,SPACEID,Name,Avg. Lat,Avg. Long,num_objs,obj1_id,obj2_id,obj3_id,obj4_id,obj5_id,obj6_id,obj7_id,obj8_id,obj9_id,obj10_id,obj1_dist,obj2_dist,obj3_dist,obj4_dist,obj5_dist,obj6_dist,obj7_dist,obj8_dist,obj9_dist,obj10_dist,Weighted Roundtrip Ratio,Daily Roundtrips
190,191,Titus Sparrow Park,42.343577910500045,-71.07995068749997,7,C32077,C32007,C32004,A32009,C32063,C32060,B32005,C32003,C32056,C32008,0.2558602781249011,0.2723253128384972,0.2771241960099118,0.2937484961964334,0.3045113193146097,0.4114824304581113,0.4116907405468663,0.5248084254577462,0.5391175102486432,0.5554196940082727,0.034882077959294905,10.565400843881841
191,192,Waltham Square,42.34061059050004,-71.06768221499996,3,D32002,C32093,C32061,C32000,C32006,C32035,C32060,C32057,C32025,A32009,0.1301316148932787,0.2192584036625947,0.4418607496678501,0.537659423161875,0.5568244913667677,0.5597591121387692,0.5608613124407629,0.5917883969741836,0.6849567108364237,0.7401678120075856,0.020523281227233875,1.4858348402652157
192,193,Harriet Tubman Square,42.34344720700005,-71.07792478899995,6,C32077,A32009,C32060,C32004,C32007,C32063,C32003,C32056,C32006,B32005,0.1695210279584666,0.2427214247954826,0.3013088838225493,0.3956358587430301,0.3993674995637149,0.4800566579653585,0.5093458757446878,0.6151105715161823,0.6231485062023152,0.6306758276048756,0.029981783301897387,5.605183845690165
193,194,Concord Square,42.34134458400007,-71.07886754199995,8,A32009,C32004,C32063,C32056,C32060,C32077,C32006,D32061,C32007,B32005,0.1359656760684383,0.2158876344814861,0.3345624989450837,0.3809986248341382,0.3902057254249285,0.3985573532442024,0.4429303234597888,0.4971429148591734,0.5315301317508581,0.5710456616791661,0.02778285417488236,6.964436407474369
194,195,Ramsay Park,42.33453206050007,-71.08062616249998,7,C32005,D32059,B32026,D32061,C32056,B32064,B32017,B32002,C32006,C32004,0.0324244655919507,0.051707792010792,0.0972166857580241,0.2876350649193151,0.3467047977711984,0.4720952752020895,0.4912336483661514,0.5410456864094185,0.5922271319599272,0.6086703584610851,0.03381934959949792,2.761301989150085
195,196,Commonwealth Avenue Outbound,42.345054285500055,-71.13869199699997,8,D32034,A32017,D32033,A32012,D32035,D32054,B32035,A32002,A32001,D32028,0.0096137536410115,0.0130769448494277,0.0262604093868271,0.0592763800278537,0.0911871133829449,0.3216880266294095,0.3448547852311779,0.446328548241398,0.5128139001033675,0.781130079016812,0.03606153137062853,9.432188065099448
196,197,Commonwealth Plaza,42.35105828500005,-71.11255375099995,1,A32003,A32002,B32060,A32008,A32012,D32032,B32058,B32020,B32015,B32037,0.3299287430697976,0.5126806445927394,0.6997797262179667,0.701359420132766,0.9128479014851452,0.9725822417807946,1.069574108028542,1.110779716290308,1.1425636920032105,1.245030581656566,0.0312236031033004,2.1723930078360456
197,198,Union Square Plaza,42.35348909450008,-71.13733773049995,2,A32001,A32045,D32034,A32017,D32035,D32001,A32005,D32054,A32040,A32012,0.0,0.4745713081412824,0.551522995386586,0.568576599992973,0.6907624519178992,0.8427822461641328,0.8620717339705394,0.9283795518845008,0.9738280793462902,1.0550259108965807,0.03605075067619657,1.6630500301386375
198,199,Chester Square,42.33828998850007,-71.07914680299996,8,C32056,D32059,D32061,C32004,C32005,A32009,C32006,C32063,B32026,C32060,0.1582667840881168,0.2474486305683912,0.249145614416958,0.286543098418107,0.2997044882862723,0.3495161906830026,0.3728218380192476,0.4257085289109316,0.5845733942858445,0.5923840410250336,0.027759654078237588,6.193490054249534
199,200,Msgr. Reynolds Playground,42.34042070000007,-71.07058809799997,6,C32093,D32002,C32006,C32060,C32061,A32009,C32000,C32077,C32057,C32035,0.1337840663437902,0.163135064651243,0.3367268333799409,0.3580590866468322,0.4193450265334179,0.4990547933796175,0.5362516617556584,0.6613626476893276,0.7441385010653458,0.7519466228855142,0.023749329207931588,4.895117540687148
200,201,Rutland Square,42.341811107500064,-71.07815763249997,8,A32009,C32004,C32060,C32077,C32063,C32006,C32056,C32007,D32061,B32005,0.0639317907587139,0.292090023802255,0.3133202131840789,0.320096237148221,0.3998614962171797,0.4264977369760858,0.4577619362806464,0.4911799173243636,0.5735060694923722,0.605959957155355,0.028968893715069336,8.377938517179008
201,202,Hiscock Park,42.34267857100005,-71.07818705049996,6,A32009,C32077,C32060,C32004,C32063,C32007,C32056,C32006,C32003,B32005,0.1780133260300075,0.2531118243317795,0.3124500336388638,0.3333026375461038,0.4352003074333301,0.4609618088255754,0.535418685505296,0.5670423729717498,0.5977167492776561,0.6247923452385813,0.029981783301897387,5.605183845690165
202,203,Billings Field,42.28138444000004,-71.15609694699995,2,C32086,C32085,C32087,C32059,C32046,C32047,C32048,C32079,C32106,C32089,0.0877328403028415,0.4207103235942582,0.5871777915798233,1.573621430084477,2.244433820189997,2.302265938564621,3.0257572669761563,3.1257054277662686,3.271200490845972,3.573983820765556,0.14435695538057738,0.23206751054852315
203,204,Mount Benedict Cemetery,42.29697232250007,-71.16780103099998,0,C32085,C32086,C32087,C32059,C32046,C32047,C32048,C32089,D32052,E32010,1.405450844721133,1.4718965156871755,1.7989409102547715,2.482974689945861,3.122819475381529,3.127039746108063,3.5056311191054856,3.903751217348681,4.059958426831066,4.074111107357993,0.0,0.0
204,205,Mount Lebanon Cemetery,42.29011793250004,-71.18024144949996,0,C32086,C32087,C32085,C32059,C32046,C32047,C32048,C32089,C32079,E32010,1.7899422169255554,1.846991136006248,1.8917136604181792,3.224709658674123,3.9165922033026126,3.94055687633856,4.443307591584039,4.890755256593546,5.018641660788815,5.111803601385242,0.0,0.0
205,206,Gethsemane Cemetery,42.28690826800005,-71.17925860649996,0,C32087,C32086,C32085,C32059,C32046,C32047,C32048,C32079,C32089,C32106,1.4643495653886085,1.6668434777928538,1.9469526125486707,3.3262700165421197,4.0285296244735695,4.0674900244609615,4.666609338850672,5.025492770832658,5.1574795551612205,5.163310456984374,0.0,0.0
